Date: 11/07/22 | Time: 22:29:23 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:24 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:25 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:26 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:27 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:28 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:29 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:30 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:31 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:32 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:33 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:34 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:35 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:36 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:37 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:38 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:39 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:40 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:41 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:42 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:43 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:44 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:45 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:46 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:47 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:48 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:49 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:50 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:51 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:52 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/07/22 | Time: 22:29:54 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: YES
Date: 11/07/22 | Time: 22:29:54 | Total_Size: 1536 | Free_Size: 144.78 | HWM: 1305.6 | Exceeded: NO
Date: 11/10/22 | Time: 16:36:26 | Total_Size: 1536 | Free_Size: 303.24 | HWM: 1305.6 | Exceeded: NO
Date: 11/10/22 | Time: 16:36:27 | Total_Size: 1536 | Free_Size: 302.9 | HWM: 1305.6 | Exceeded: NO
Date: 11/10/22 | Time: 16:36:28 | Total_Size: 1536 | Free_Size: 302.91 | HWM: 1305.6 | Exceeded: YES
Date: 11/10/22 | Time: 16:36:29 | Total_Size: 1536 | Free_Size: 302.9 | HWM: 1305.6 | Exceeded: NO
Date: 11/10/22 | Time: 16:39:24 | Total_Size: 1536 | Free_Size: 295.51 | HWM: 1305.6 | Exceeded: NO
Date: 11/10/22 | Time: 16:39:25 | Total_Size: 1536 | Free_Size: 295.51 | HWM: 1305.6 | Exceeded: YES
Date: 11/12/22 | Time: 13:14:58 | Total_Size: 1536 | Free_Size: 219.79 | HWM: 1305.6 | Exceeded: NO
Date: 11/12/22 | Time: 13:14:59 | Total_Size: 1536 | Free_Size: 219.47 | HWM: 1305.6 | Exceeded: YES
Date: 11/12/22 | Time: 13:15:00 | Total_Size: 1536 | Free_Size: 219.47 | HWM: 1305.6 | Exceeded: YES
Date: 11/12/22 | Time: 13:15:01 | Total_Size: 1536 | Free_Size: 219.47 | HWM: 1305.6 | Exceeded: NO
